p,n,power
112,302,1.0
112,304,1.0
112,306,1.0
112,308,1.0
112,310,1.0
112,312,1.0
112,314,1.0
112,316,1.0
112,318,1.0
112,320,1.0
112,322,1.0
112,324,1.0
112,326,1.0
112,328,1.0
112,330,1.0
113,240,0.0
113,242,0.0
113,244,0.0
113,246,0.0
113,248,0.0
113,250,0.0
113,252,0.0
113,254,0.0
113,256,0.0
113,258,0.0
113,260,0.0
113,262,0.0
113,264,0.0
113,266,0.0
113,268,0.0
113,270,0.0
113,272,0.0
113,274,0.005
113,276,0.005
113,278,0.0
113,280,0.025
113,282,0.07
113,284,0.2
113,286,0.395
113,288,0.685
113,290,0.79
113,292,0.935
113,294,0.98
113,296,1.0
113,298,1.0
113,300,1.0
113,302,1.0
113,304,1.0
113,306,1.0
113,308,1.0
113,310,1.0
113,312,1.0
113,314,1.0
113,316,1.0
113,318,1.0
113,320,1.0
113,322,1.0
113,324,1.0
113,326,1.0
113,328,1.0
113,330,1.0
114,240,0.0
114,242,0.0
114,244,0.0
114,246,0.0
114,248,0.0
114,250,0.0
114,252,0.0
114,254,0.0
114,256,0.0
114,258,0.0
114,260,0.0
114,262,0.0
114,264,0.0
114,266,0.0
114,268,0.0
114,270,0.0
114,272,0.0
114,274,0.0
114,276,0.0
114,278,0.0
114,280,0.0
114,282,0.025
114,284,0.065
114,286,0.185
114,288,0.295
114,290,0.61
114,292,0.805
114,294,0.935
114,296,0.985
114,298,1.0
114,300,1.0
114,302,1.0
114,304,1.0
114,306,1.0
114,308,1.0
114,310,1.0
114,312,1.0
114,314,1.0
114,316,1.0
114,318,1.0
114,320,1.0
114,322,1.0
114,324,1.0
114,326,1.0
114,328,1.0
114,330,1.0
115,240,0.0
115,242,0.0
115,244,0.0
115,246,0.0
115,248,0.0
115,250,0.0
115,252,0.0
115,254,0.0
115,256,0.0
115,258,0.0
115,260,0.0
115,262,0.0
115,264,0.0
115,266,0.0
115,268,0.0
115,270,0.0
115,272,0.0
115,274,0.0
115,276,0.0
115,278,0.0
115,280,0.005
115,282,0.0
115,284,0.005
115,286,0.055
115,288,0.165
115,290,0.325
115,292,0.515
115,294,0.775
115,296,0.91
115,298,0.96
115,300,0.995
115,302,1.0
115,304,1.0
115,306,1.0
115,308,1.0
115,310,1.0
115,312,1.0
115,314,1.0
115,316,1.0
115,318,1.0
115,320,1.0
115,322,1.0
115,324,1.0
115,326,1.0
115,328,1.0
115,330,1.0
116,240,0.0
116,242,0.0
116,244,0.0
116,246,0.0
116,248,0.0
116,250,0.0
116,252,0.0
116,254,0.0
116,256,0.0
116,258,0.0
116,260,0.0
116,262,0.0
116,264,0.0
116,266,0.0
116,268,0.0
116,270,0.0
116,272,0.0
116,274,0.0
116,276,0.0
116,278,0.0
116,280,0.0
116,282,0.0
116,284,0.005
116,286,0.005
116,288,0.05
116,290,0.095
116,292,0.29
116,294,0.465
116,296,0.715
116,298,0.89
116,300,0.975
116,302,0.99
116,304,1.0
116,306,1.0
116,308,1.0
116,310,1.0
116,312,1.0
116,314,1.0
116,316,1.0
116,318,1.0
116,320,1.0
116,322,1.0
116,324,1.0
116,326,1.0
116,328,1.0
116,330,1.0
117,240,0.0
117,242,0.0
117,244,0.0
117,246,0.0
117,248,0.0
117,250,0.0
117,252,0.0
117,254,0.0
117,256,0.0
117,258,0.0
117,260,0.0
117,262,0.0
117,264,0.0
117,266,0.0
117,268,0.0
117,270,0.0
117,272,0.0
117,274,0.0
117,276,0.0
117,278,0.0
117,280,0.0
117,282,0.0
117,284,0.0
117,286,0.0
117,288,0.0
117,290,0.05
117,292,0.1
117,294,0.25
117,296,0.545
117,298,0.72
117,300,0.875
117,302,0.97
117,304,0.995
117,306,1.0
117,308,1.0
117,310,1.0
117,312,1.0
117,314,1.0
117,316,1.0
117,318,1.0
117,320,1.0
117,322,1.0
117,324,1.0
117,326,1.0
117,328,1.0
117,330,1.0
118,240,0.0
118,242,0.0
118,244,0.0
118,246,0.0
118,248,0.0
118,250,0.0
118,252,0.0
118,254,0.0
118,256,0.0
118,258,0.0
118,260,0.0
118,262,0.0
